"host_id","x"
"15707672",55
"98419892",51
"3952766",26
"5254782",23
"4614604",18
"790667",16
"12954077",16
"13367653",15
"6598471",14
"25039584",13
"18192487",11
"98189424",11
"102583389",11
"149691",10
"50920106",9
"2470030",8
"73815563",7
"2035832",6
"2625306",6
"5173315",6
"12747666",6
"13725999",6
"29992891",6
"48013502",6
"8703392",5
"9893159",5
"13343635",5
"33064793",5
"37985139",5
"49473712",5
"2015934",4
"2849717",4
"4402649",4
"5172999",4
"15659580",4
"16228557",4
"17097096",4
"38990075",4
"59754218",4
"63629203",4
"76289581",4
"100340746",4
"102990934",4
"109977260",4
"349085",3
"1580586",3
"1589633",3
"4271408",3
"5634854",3
"8517912",3
"10650761",3
"10725302",3
"12465495",3
"13159858",3
"19156553",3
"19632477",3
"20367848",3
"22467824",3
"34717423",3
"37032982",3
"37814558",3
"39152861",3
"39175346",3
"39990119",3
"40355932",3
"42591511",3
"49871447",3
"63853491",3
"81234909",3
"85246818",3
"93636957",3
"99915435",3
"938570",2
"1823300",2
"2281404",2
"2676178",2
"3358229",2
"3425634",2
"3635738",2
"4096200",2
"5093525",2
"5361990",2
"6520043",2
"7770643",2
"8462790",2
"8603350",2
"9721328",2
"11160829",2
"11326417",2
"12058299",2
"14547732",2
"14711314",2
"16163108",2
"16300842",2
"17631675",2
"18639936",2
"19738132",2
"20267369",2
"20659319",2
"20922061",2
"22110650",2
"23945047",2
"24273022",2
"26474511",2
"27570356",2
"28453397",2
"30110523",2
"30583668",2
"31020295",2
"32482100",2
"33109119",2
"33632894",2
"33887248",2
"33930089",2
"34331007",2
"35700062",2
"36268260",2
"37380080",2
"38244318",2
"40631970",2
"41651900",2
"43472380",2
"49728217",2
"51308087",2
"54624075",2
"58139690",2
"63029517",2
"67141855",2
"68640001",2
"70686255",2
"71316977",2
"72282344",2
"79023262",2
"79630455",2
"83663860",2
"86695703",2
"87911311",2
"92414536",2
"94924919",2
"106481544",2
"115372864",2
"267861",1
"648938",1
"809371",1
"837904",1
"1252427",1
"1316922",1
"1320625",1
"1374224",1
"1596383",1
"1933529",1
"1934446",1
"2439351",1
"2499312",1
"2524293",1
"2753432",1
"2883088",1
"2907063",1
"2977232",1
"2987206",1
"2997106",1
"3065884",1
"3086177",1
"3100870",1
"3188727",1
"3411184",1
"3532195",1
"3594894",1
"3678889",1
"3683513",1
"3739364",1
"3746437",1
"3771786",1
"3905259",1
"4203319",1
"4387604",1
"4425224",1
"4714340",1
"4827486",1
"4906938",1
"5002242",1
"5012355",1
"5070724",1
"5086082",1
"5096546",1
"5159012",1
"5171520",1
"5194511",1
"5280731",1
"5719679",1
"5844152",1
"5849931",1
"5915555",1
"5949992",1
"6096016",1
"6139365",1
"6201019",1
"6380353",1
"6444806",1
"6476941",1
"6519772",1
"6540783",1
"6623180",1
"6787784",1
"6803969",1
"6809870",1
"6973618",1
"7225846",1
"7237827",1
"7260628",1
"7270859",1
"7347929",1
"7471853",1
"7607265",1
"7696513",1
"7761111",1
"7781608",1
"8249341",1
"8620322",1
"8780867",1
"8863617",1
"9177390",1
"9403141",1
"9588696",1
"9671424",1
"9848033",1
"10091976",1
"10148878",1
"10279610",1
"10329120",1
"10490305",1
"10670704",1
"10777548",1
"10810417",1
"10969460",1
"11008085",1
"11356772",1
"11512737",1
"11534048",1
"11947214",1
"12333332",1
"12410760",1
"12473012",1
"12539245",1
"12738550",1
"12889206",1
"12975982",1
"13482112",1
"13551528",1
"13723057",1
"13726631",1
"13763589",1
"13792405",1
"14011988",1
"14157336",1
"14492124",1
"14524985",1
"14539528",1
"14591119",1
"15023142",1
"15181459",1
"15268898",1
"15270260",1
"15341690",1
"15509555",1
"15605371",1
"15721159",1
"15764978",1
"15843531",1
"15918991",1
"16436199",1
"16665297",1
"16855092",1
"17122408",1
"17187095",1
"17326619",1
"17444441",1
"17544770",1
"17720409",1
"17862112",1
"17863260",1
"17873844",1
"17941053",1
"17952471",1
"18033285",1
"18252227",1
"18260192",1
"18265987",1
"18326048",1
"18676106",1
"18679491",1
"18910266",1
"18953953",1
"19024359",1
"19131427",1
"19287380",1
"19574576",1
"19792013",1
"20149704",1
"20308301",1
"20566839",1
"20567534",1
"20642917",1
"20689842",1
"21115873",1
"21203493",1
"21623734",1
"21758026",1
"21920693",1
"22291494",1
"22523569",1
"22707602",1
"22790655",1
"23350301",1
"23406046",1
"23510666",1
"23731173",1
"23783738",1
"23801039",1
"23819599",1
"23937571",1
"24230477",1
"24280325",1
"24450876",1
"24550811",1
"24583214",1
"24686186",1
"24766134",1
"25035028",1
"25221342",1
"25365334",1
"25702288",1
"25733378",1
"25932334",1
"26671296",1
"27623958",1
"27677276",1
"27699155",1
"27820050",1
"27827094",1
"27935393",1
"27984336",1
"28211354",1
"28337583",1
"28360989",1
"28493758",1
"28544877",1
"28609881",1
"28638575",1
"28753118",1
"29271895",1
"29300321",1
"29690945",1
"29697318",1
"29744524",1
"29815488",1
"30100717",1
"30214527",1
"30720805",1
"31019676",1
"31208960",1
"31570167",1
"31582188",1
"31986490",1
"31990516",1
"32128103",1
"32246889",1
"32252822",1
"32469333",1
"32672081",1
"32827088",1
"32988222",1
"33063854",1
"33206224",1
"33600942",1
"34211190",1
"34265055",1
"34452992",1
"34499947",1
"34508326",1
"34806472",1
"35185912",1
"35201959",1
"35205333",1
"35211044",1
"35221154",1
"35292208",1
"35321362",1
"35387153",1
"35445848",1
"35573424",1
"35755884",1
"35855383",1
"36152588",1
"36212190",1
"36506256",1
"36531637",1
"36595893",1
"36598239",1
"36623039",1
"36626870",1
"36712928",1
"36721556",1
"37241970",1
"37261917",1
"37632910",1
"37824430",1
"38085461",1
"38107504",1
"38246381",1
"38259578",1
"38381170",1
"38581049",1
"38675974",1
"38955484",1
"39105792",1
"39156075",1
"39332444",1
"39712030",1
"39740449",1
"40184350",1
"40272493",1
"40453600",1
"40761716",1
"40767857",1
"41308298",1
"41338358",1
"41387826",1
"41451052",1
"41787029",1
"42455382",1
"42744173",1
"42757573",1
"42775403",1
"42775520",1
"42960862",1
"42995908",1
"42996331",1
"42998598",1
"43529841",1
"43658551",1
"43764976",1
"43809989",1
"43850959",1
"44003981",1
"44350286",1
"45061654",1
"45278033",1
"45341951",1
"45468758",1
"45542311",1
"45614226",1
"45732694",1
"46010295",1
"46137749",1
"46202105",1
"46207356",1
"46269538",1
"46278570",1
"46622471",1
"46724907",1
"46725741",1
"46751344",1
"46778837",1
"46831784",1
"46867634",1
"47240699",1
"47469008",1
"47550535",1
"47755143",1
"47761807",1
"47766241",1
"47829747",1
"48003707",1
"48619281",1
"48795865",1
"48880546",1
"48917476",1
"49086359",1
"49414795",1
"49686204",1
"49775940",1
"49977631",1
"50034160",1
"50445463",1
"50516880",1
"50890409",1
"50909774",1
"50993110",1
"51296876",1
"51420363",1
"51429618",1
"51682000",1
"51802919",1
"52158704",1
"52323145",1
"52422193",1
"52431219",1
"52511321",1
"53330295",1
"53442582",1
"53583018",1
"54335894",1
"55084676",1
"55128126",1
"55731396",1
"56059059",1
"56067623",1
"57052119",1
"57209575",1
"57387361",1
"57726218",1
"58069986",1
"58078253",1
"58140293",1
"58765351",1
"58980481",1
"59153204",1
"59613993",1
"59956509",1
"60178480",1
"60269276",1
"60783435",1
"61291867",1
"61419767",1
"61945641",1
"61980780",1
"62087777",1
"62220773",1
"62406436",1
"62838817",1
"62995824",1
"63025269",1
"63047716",1
"63088252",1
"63100080",1
"63233905",1
"63333992",1
"63349894",1
"63500037",1
"64629543",1
"64632576",1
"64716367",1
"64767515",1
"64948558",1
"65018851",1
"65584104",1
"65708005",1
"65804738",1
"65846490",1
"66056585",1
"66092846",1
"66189507",1
"66195608",1
"66206246",1
"66442943",1
"66539980",1
"66631770",1
"66803125",1
"67002163",1
"67170968",1
"67625685",1
"67756864",1
"67867097",1
"68513616",1
"68607178",1
"68686301",1
"68832889",1
"68869045",1
"68900724",1
"69087589",1
"69188309",1
"69375962",1
"70344992",1
"70742170",1
"70783776",1
"71124765",1
"71159770",1
"71948758",1
"72174065",1
"72661153",1
"72832832",1
"73303284",1
"73378126",1
"73601251",1
"73961518",1
"74112299",1
"74570915",1
"74781426",1
"74962084",1
"75051852",1
"75066674",1
"75066679",1
"75562142",1
"75640070",1
"76520078",1
"76917004",1
"77054821",1
"77280239",1
"77306245",1
"77307684",1
"77447809",1
"77712776",1
"77735870",1
"77883605",1
"77963975",1
"78058732",1
"78253400",1
"78638598",1
"78640281",1
"79077346",1
"79314928",1
"79642589",1
"79850083",1
"80195068",1
"80288659",1
"80311219",1
"80506804",1
"80739881",1
"81045215",1
"81048519",1
"81464551",1
"82023303",1
"82282530",1
"83317009",1
"83735015",1
"83742780",1
"84093662",1
"84424576",1
"84632475",1
"84915138",1
"85046454",1
"85137945",1
"85236281",1
"85851726",1
"85931946",1
"86025214",1
"86327331",1
"87473927",1
"87699823",1
"87774642",1
"87796657",1
"87994485",1
"88092791",1
"89346842",1
"89794459",1
"90286165",1
"90505047",1
"90580974",1
"90895759",1
"91109629",1
"92136823",1
"92397483",1
"92756437",1
"92983132",1
"93687802",1
"93847637",1
"94205663",1
"94296670",1
"95149231",1
"96926071",1
"96979720",1
"97079841",1
"97292628",1
"99490946",1
"100474652",1
"101354142",1
"102133738",1
"102478614",1
"103037542",1
"103247076",1
"103396138",1
"103710458",1
"105237788",1
"105663223",1
"105917109",1
"106063182",1
"106884120",1
"106914989",1
"109347536",1
"109746871",1
"109780975",1
"110528065",1
"112704367",1
"115129584",1
"115134693",1
"116390025",1
"118939099",1
"119149236",1
"119293460",1
"119660337",1
"120231094",1
"121686363",1
"122056479",1
"122066306",1
"122218931",1
